title,category_name,rating,price_gbp
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,55.53
Mrs. Houdini,Historical Fiction,5,30.25
The Passion of Dolssa,Historical Fiction,5,28.32
Voyager (Outlander #3),Historical Fiction,5,21.07
The Red Tent,Historical Fiction,5,35.66
Between Shades of Gray,Historical Fiction,5,20.79
While You Were Mine,Historical Fiction,5,41.32
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,5,16.97
The Marriage of Opposites,Historical Fiction,4,28.08
A Paris Apartment,Historical Fiction,4,39.01
World Without End (The Pillars of the Earth #2),Historical Fiction,4,32.97
Lost Among the Living,Historical Fiction,4,27.7
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,3,29.69
Glory over Everything: Beyond The Kitchen House,Historical Fiction,3,45.84
The Constant Princess (The Tudor Court #1),Historical Fiction,3,16.62
The Secret Healer,Historical Fiction,3,34.56
Starlark,Historical Fiction,3,25.83
"Love, Lies and Spies",Historical Fiction,2,20.55
Lilac Girls,Historical Fiction,2,17.28
The Last Painting of Sara de Vos,Historical Fiction,2,55.55
Girl in the Blue Coat,Historical Fiction,2,46.83
Tipping the Velvet,Historical Fiction,1,53.74
The House by the Lake,Historical Fiction,1,36.95
The Invention of Wings,Historical Fiction,1,37.34
Girl With a Pearl Earring,Historical Fiction,1,26.77
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,1,49.53
A Time of Torment (Charlie Parker #14),Mystery,5,48.35
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,25.37
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,52.3
The Silkworm (Cormoran Strike #2),Mystery,5,23.05
The Girl You Lost,Mystery,5,12.29
Sharp Objects,Mystery,4,47.82
The Past Never Ends,Mystery,4,56.5
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,44.1
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4,54.36
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,4,20.89
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,4,24.8
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,4,57.7
Poisonous (Max Revere Novels #3),Mystery,3,26.8
Most Wanted,Mystery,3,35.28
Boar Island (Anna Pigeon #19),Mystery,3,59.48
Playing with Fire,Mystery,3,13.71
The Exiled,Mystery,3,43.45
Extreme Prey (Lucas Davenport #26),Mystery,3,25.4
The Girl In The Ice (DCI Erika Foster #1),Mystery,3,15.85
Blood Defense (Samantha Brinkman #1),Mystery,3,20.3
The Last Mile (Amos Decker #2),Mystery,2,54.21
A Study in Scarlet (Sherlock Holmes #1),Mystery,2,16.73
The Widow,Mystery,2,27.26
In the Woods (Dublin Murder Squad #1),Mystery,2,38.38
Career of Evil (Cormoran Strike #3),Mystery,2,24.72
"In a Dark, Dark Wood",Mystery,1,19.63
A Murder in Time,Mystery,1,16.64
That Darkness (Gardiner and Renner #1),Mystery,1,13.92
Tastes Like Fear (DI Marnie Rome #3),Mystery,1,10.69
Hide Away (Eve Duncan #20),Mystery,1,11.84
The Cuckoo's Calling (Cormoran Strike #1),Mystery,1,19.21
1st to Die (Women's Murder Club #1),Mystery,1,53.98
"1,000 Places to See Before You Die",Travel,5,26.08
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,49.43
A Year in Provence (Provence #1),Travel,4,56.88
See America: A Celebration of Our National Parks & Treasured Sites,Travel,3,48.87
Under the Tuscan Sun,Travel,3,37.33
Neither Here nor There: Travels in Europe,Travel,3,38.95
It's Only the Himalayas,Travel,2,45.17
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,2,36.94
A Summer In Europe,Travel,2,44.34
The Great Railway Bazaar,Travel,1,30.54
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,1,23.21
